idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
2726,1017480,2024,https://www.sec.gov/Archives/edgar/data/1017480/000101748024000043/hibb-20240203.htm,,https://www.sec.gov/Archives/edgar/data/1017480/000101748024000070/hibb-20240504.htm,,
1448,1563411,2024,https://www.sec.gov/Archives/edgar/data/1563411/000156341125000005/cstm-20241231.htm,,,,
3567,1398987,2024,https://www.sec.gov/Archives/edgar/data/1398987/000139898725000020/hous-20241231.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898724000091/hous-20240331.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898724000126/hous-20240630.htm,https://www.sec.gov/Archives/edgar/data/1398987/000139898724000136/hous-20240930.htm,
5386,1158324,2024,https://www.sec.gov/Archives/edgar/data/1158324/000141057825000226/ccoi-20241231x10k.htm,https://www.sec.gov/Archives/edgar/data/1158324/000141057824000677/ccoi-20240331x10q.htm,https://www.sec.gov/Archives/edgar/data/1158324/000141057824001206/ccoi-20240630x10q.htm,https://www.sec.gov/Archives/edgar/data/1158324/000141057824001788/ccoi-20240930x10q.htm,
855,1671927,2024,https://www.sec.gov/Archives/edgar/data/1671927/000167192725000006/imcr-20241231.htm,https://www.sec.gov/Archives/edgar/data/1671927/000114036124024784/ef20026074_10q.htm,https://www.sec.gov/Archives/edgar/data/1671927/000167192724000005/imcr-20240630.htm,https://www.sec.gov/Archives/edgar/data/1671927/000167192724000011/imcr-20240930.htm,
1158,1393311,2024,https://www.sec.gov/Archives/edgar/data/1393311/000139331125000036/psa-20241231.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331124000109/psa-20240331.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331124000167/psa-20240630.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331124000193/psa-20240930.htm,
868,949961,2024,https://www.sec.gov/Archives/edgar/data/949961/000199937125002901/ior-10k_123124.htm,https://www.sec.gov/Archives/edgar/data/949961/000199937124005847/ior-10q_033124.htm,https://www.sec.gov/Archives/edgar/data/949961/000199937124009758/ior-10q_063024.htm,https://www.sec.gov/Archives/edgar/data/949961/000199937124014339/ior-10q_093024.htm,
3249,1476765,2024,https://www.sec.gov/Archives/edgar/data/1476765/000147676524000132/gbdc-20240930.htm,https://www.sec.gov/Archives/edgar/data/1476765/000147676524000036/gbdc-20240331.htm,https://www.sec.gov/Archives/edgar/data/1476765/000147676524000074/gbdc-20240630.htm,,https://www.sec.gov/Archives/edgar/data/1476765/000147676525000016/gbdc-20241231.htm
3158,51644,2024,https://www.sec.gov/Archives/edgar/data/51644/000005164425000024/ipg-20241231.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164424000021/ipg-20240331.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164424000036/ipg-20240630.htm,https://www.sec.gov/Archives/edgar/data/51644/000005164424000049/ipg-20240930.htm,
538,880641,2024,https://www.sec.gov/Archives/edgar/data/880641/000095017025047778/efsi-20241231.htm,https://www.sec.gov/Archives/edgar/data/880641/000095017025008893/efsi-20240331.htm,https://www.sec.gov/Archives/edgar/data/880641/000095017025008894/efsi-20240630.htm,https://www.sec.gov/Archives/edgar/data/880641/000095017025008896/efsi-20240930.htm,
3910,72971,2024,https://www.sec.gov/Archives/edgar/data/72971/000007297125000066/wfc-20241231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000129/wfc-20240331.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000185/wfc-20240630.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000243/wfc-20240930.htm,
743,1710155,2024,https://www.sec.gov/Archives/edgar/data/1710155/000171015525000011/eye-20241228.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015524000028/eye-20240330.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015524000052/eye-20240629.htm,https://www.sec.gov/Archives/edgar/data/1710155/000171015524000060/eye-20240928.htm,
3465,824142,2024,https://www.sec.gov/Archives/edgar/data/824142/000082414225000039/aaon-20241231.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414224000120/aaon-20240331.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414224000187/aaon-20240630.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414224000211/aaon-20240930.htm,
