idpk,CIK,year,AnnualReportLink,QuarterlyReportLinkQ1,QuarterlyReportLinkQ2,QuarterlyReportLinkQ3,QuarterlyReportLinkQ4
3149,0001811999,2024,https://www.sec.gov/Archives/edgar/data/1811999/000109690625000995/fmhs-20241231.htm,https://www.sec.gov/Archives/edgar/data/1811999/000109690624001516/fmhs-20240331.htm,https://www.sec.gov/Archives/edgar/data/1811999/000109690624001727/fmhs-20240630.htm,https://www.sec.gov/Archives/edgar/data/1811999/000109690625000588/fmhs-20240930.htm,
7347,0002012839,2024,https://www.sec.gov/Archives/edgar/data/2012839/000201283925000013/ebdc-20241231.htm,,https://www.sec.gov/Archives/edgar/data/2012839/000201283924000009/ebdc-20240630.htm,https://www.sec.gov/Archives/edgar/data/2012839/000201283924000020/ebdc-20240930.htm,
2580,0002024203,2024,https://www.sec.gov/Archives/edgar/data/2024203/000164117225000774/form10-k.htm,,,https://www.sec.gov/Archives/edgar/data/2024203/000149315224043856/form10-q.htm,
7210,0001096343,2024,https://www.sec.gov/Archives/edgar/data/1096343/000109634325000027/mkl-20241231.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634324000057/mkl-20240331.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634324000106/mkl-20240630.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634324000123/mkl-20240930.htm,
30,0001372299,2024,https://www.sec.gov/Archives/edgar/data/1372299/000162828025010271/ocgn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024023038/ocgn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024035822/ocgn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828024047846/ocgn-20240930.htm,
4757,0001091667,2024,https://www.sec.gov/Archives/edgar/data/1091667/000109166725000034/chtr-20241231.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166724000085/chtr-20240331.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166724000104/chtr-20240630.htm,https://www.sec.gov/Archives/edgar/data/1091667/000109166724000123/chtr-20240930.htm,
2634,0001868573,2024,https://www.sec.gov/Archives/edgar/data/1868573/000121390025026189/ea0234797-10k_apxacq1.htm,https://www.sec.gov/Archives/edgar/data/1868573/000119312524227932/d840364d10q.htm,https://www.sec.gov/Archives/edgar/data/1868573/000119312524227945/d843252d10q.htm,https://www.sec.gov/Archives/edgar/data/1868573/000119312524263551/d95647d10q.htm,
3492,0001556727,2024,https://www.sec.gov/Archives/edgar/data/1556727/000143774925007492/fnwb20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/1556727/000143774924016267/fnwb20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/1556727/000143774924032158/fnwb20240630_10qa.htm,https://www.sec.gov/Archives/edgar/data/1556727/000143774924034591/fnwb20240930c_10q.htm,
4005,0001442999,2024,https://www.sec.gov/Archives/edgar/data/1442999/000166357724000211/abti10k_033124.htm,,https://www.sec.gov/Archives/edgar/data/1442999/000147793224007595/abti_10qa.htm,https://www.sec.gov/Archives/edgar/data/1442999/000147793224007731/abti_10q.htm,
709,0002020385,2024,https://www.sec.gov/Archives/edgar/data/2020385/000121390025026416/ea0235838-10k_tavia.htm,,,,
4819,0001576018,2024,https://www.sec.gov/Archives/edgar/data/1576018/000157601825000010/spnt-20241231.htm,https://www.sec.gov/Archives/edgar/data/1576018/000157601824000031/spnt-20240331.htm,https://www.sec.gov/Archives/edgar/data/1576018/000157601824000042/spnt-20240630.htm,https://www.sec.gov/Archives/edgar/data/1576018/000157601824000054/spnt-20240930.htm,
1558,0000081018,2024,https://www.sec.gov/Archives/edgar/data/81018/000008101825000004/psco-20241231.htm,https://www.sec.gov/Archives/edgar/data/81018/000008101824000010/psco-20240331.htm,https://www.sec.gov/Archives/edgar/data/81018/000008101824000013/psco-20240630.htm,https://www.sec.gov/Archives/edgar/data/81018/000008101824000016/psco-20240930.htm,
3671,0001175535,2024,https://www.sec.gov/Archives/edgar/data/1175535/000143774925007990/wstr20241231_10k.htm,https://www.sec.gov/Archives/edgar/data/1175535/000143774924014401/wstr20240331_10q.htm,https://www.sec.gov/Archives/edgar/data/1175535/000143774924024314/wstr20240630_10q.htm,https://www.sec.gov/Archives/edgar/data/1175535/000143774924032829/wstr20240930_10q.htm,
